2002spr 0.2684 0.2744 0.3645 103.64 103.07  86.01  65.68 0.3624 0.3347 0.3736 122.79 124.63 108.09  86.68 
2002sum 0.3119 0.2801 0.3768  79.73  80.49  67.61  49.70 0.3595 0.3723 0.4446 127.52 125.72 106.14  89.70 
2002fal 0.3436 0.3535 0.4463 108.64 107.31  90.81  70.91 0.3502 0.3342 0.3728 110.28 111.30  97.29  77.80 
0203win 0.3961 0.3920 0.4634 118.40 117.35 101.20  76.42 0.2964 0.2905 0.3357  99.31  99.36  85.88  68.66 
2003spr 0.3346 0.3488 0.4214  98.62  97.21  82.75  61.95 0.3204 0.2917 0.3444 121.54 122.17 103.63  82.38 
2003sum 0.3480 0.3410 0.4171  75.47  74.89  64.54  45.99 0.3601 0.3599 0.4375 127.73 126.02 106.88  83.71 
2003fal 0.3815 0.3680 0.4818 111.62 111.31  91.75  71.38 0.3111 0.3140 0.3585 111.62 110.49  94.31  72.33 
0304win 0.3535 0.3623 0.4426 119.45 116.61  98.67  75.16 0.2818 0.2904 0.3426 103.57 102.13  88.50  64.02 
2000sum 0.1934 0.1795 0.2171  82.34  83.66  69.18  54.82 0.2140 0.2445 0.2965 140.79 140.40 110.17 106.25 
2000fal 0.2367 0.2214 0.3219 114.94 116.07  92.18  81.38 0.1840 0.1903 0.2573 122.53 122.60  93.83  90.96 
0001win 0.2919 0.3009 0.4112 121.45 121.14  96.74  83.42 0.2132 0.1897 0.2557 110.95 112.65  88.10  80.10 
2001spr 0.2013 0.2171 0.3090 107.31 106.39  86.89  70.31 0.2380 0.2461 0.3016 129.19 128.45 104.27  92.01 
2001sum 0.2550 0.2432 0.3137  80.71  81.35  69.40  49.08 0.2113 0.2027 0.2462 132.53 133.12 112.84  87.53 
2001fal 0.2953 0.2717 0.4029 112.24 114.14  93.98  72.59 0.3082 0.3137 0.3988 109.91 111.25  92.60  76.40 
0102win 0.3169 0.3290 0.3776 123.65 121.86 103.41  80.31 0.2314 0.2458 0.2968 109.06 108.47  92.68  72.66 
2002spr 0.2025 0.2257 0.3089 107.48 105.51  87.77  67.39 0.3024 0.2853 0.3267 128.34 129.26 110.80  88.34 
2002sum 0.2660 0.2255 0.3390  82.38  83.99  69.27  51.66 0.3044 0.3201 0.3953 133.19 131.81 109.75  91.74 
2002fal 0.2852 0.2994 0.3892 114.60 112.68  94.49  73.98 0.2815 0.2659 0.3161 115.06 116.30  99.61  78.88 
0203win 0.3369 0.3254 0.3986 124.79 123.87 105.15  80.27 0.2145 0.2280 0.2673 105.95 104.74  89.23  69.84 
2003spr 0.2669 0.2733 0.3544 102.63 101.86  85.25  63.83 0.2564 0.2250 0.2920 127.77 128.85 107.04  84.64 
2003sum 0.2821 0.2636 0.3547  79.19  78.88  66.86  48.07 0.2826 0.2919 0.3698 135.69 132.76 111.18  88.01 
2003fal 0.3205 0.3118 0.4189 117.44 116.78  96.04  74.94 0.2319 0.2404 0.2944 117.47 115.88  96.89  75.05 
0304win 0.2827 0.2948 0.3699 126.15 123.46 103.55  79.24 0.2245 0.2215 0.2837 109.03 107.93  92.10  66.11 
2000sum 0.1472 0.1550 0.1932  85.79  85.56  70.04  56.44 0.1630 0.1907 0.2596 147.03 146.14 112.04 108.61 
2000fal 0.1982 0.1869 0.2740 119.85 120.48  94.55  84.83 0.1552 0.1635 0.2313 125.41 125.88  95.03  92.48 
0001win 0.2424 0.2571 0.3656 127.24 125.83  99.95  87.26 0.1738 0.1471 0.2132 113.36 115.86  89.60  81.40 
2001spr 0.1754 0.1815 0.2601 108.98 108.39  87.98  72.21 0.1819 0.2053 0.2554 135.10 133.85 106.88  94.82 
2001sum 0.2101 0.1998 0.2565  83.53  84.27  71.76  50.67 0.1641 0.1539 0.2000 136.36 137.81 114.77  89.69 
2001fal 0.2547 0.2200 0.3373 117.12 119.53  98.35  75.26 0.2641 0.2886 0.3781 113.51 114.50  93.70  77.48 
0102win 0.2584 0.2653 0.3182 128.82 127.83 107.15  83.44 0.1856 0.1990 0.2513 112.93 112.56  95.00  73.59 
2002spr 0.1423 0.1738 0.2586 110.39 107.83  88.86  68.59 0.2487 0.2465 0.2843 133.33 133.60 113.86  89.95 
2002sum 0.2196 0.1899 0.3048  85.23  86.32  70.59  53.38 0.2559 0.2770 0.3444 138.12 136.68 112.95  93.39 
2002fal 0.2418 0.2380 0.3369 119.01 118.09  97.59  76.72 0.2227 0.1989 0.2731 119.76 121.08 101.33  79.94 
0203win 0.2658 0.2704 0.3484 131.31 129.31 107.69  83.39 0.1490 0.1609 0.1909 111.41 110.61  92.75  70.95 
2003spr 0.2176 0.2120 0.3053 105.46 105.57  87.00  65.57 0.2033 0.1660 0.2421 132.93 134.85 110.03  87.06 
2003sum 0.2316 0.1933 0.2989  82.33  82.93  68.90  49.93 0.2181 0.2416 0.3162 142.07 137.80 114.28  91.64 
2003fal 0.2683 0.2633 0.3615 121.83 120.93  99.62  77.98 0.1732 0.1791 0.2425 121.70 120.55  98.70  77.54 
0304win 0.2325 0.2362 0.3075 130.50 128.94 107.22  82.91 0.1834 0.1873 0.2463 113.06 111.51  94.72  68.00 
2000sum 0.1064 0.1205 0.1636  88.48  88.12  71.37  57.60 0.1262 0.1545 0.2237 151.45 150.70 113.39 110.83 
2000fal 0.1899 0.1439 0.2449 122.54 125.77  96.25  87.73 0.1181 0.1275 0.1923 129.11 129.37  96.49  94.08 
0001win 0.1905 0.2264 0.3305 132.63 129.22 101.97  90.57 0.1254 0.1237 0.1808 116.40 116.74  90.58  82.81 
2001spr 0.1200 0.1612 0.2213 112.76 109.54  88.67  73.53 0.1394 0.1584 0.2154 140.13 139.45 109.20  97.35 
2001sum 0.1615 0.1591 0.2332  86.26  86.72  72.79  51.97 0.1224 0.1196 0.1558 139.55 140.93 116.36  91.79 
2001fal 0.2223 0.1858 0.2814 121.47 124.09 101.95  77.77 0.2319 0.2636 0.3573 116.30 117.65  95.02  78.63 
